TERM_ID,TXN_CCY_CODE,TRN_AMOUNT,TRN_DT
ABI0096,USD,0,4/6/2025
ABI0098,AFN,83000,4/6/2025
ABI0099,AFN,154500,4/6/2025
ABI0099,USD,0,4/6/2025
ABI0100,AFN,233000,4/6/2025
ABI0100,USD,2400,4/6/2025
ABI0101,USD,650,4/6/2025
ABI0103,AFN,252000,4/6/2025
ABI0103,USD,0,4/6/2025
ABI0105,AFN,411000,4/6/2025
ABI0109,AFN,23500,4/6/2025
ABI0110,AFN,2000,4/6/2025
ABI0111,AFN,73000,4/6/2025
ABI0113,AFN,230500,4/6/2025
ABI0113,USD,400,4/6/2025
ABI0114,AFN,82500,4/6/2025
ABI0115,AFN,30000,4/6/2025
ABI0116,AFN,152000,4/6/2025
ABI0119,AFN,17000,4/6/2025
ABI0119,USD,0,4/6/2025
ABI0120,AFN,4000,4/6/2025
ABI0121,AFN,114000,4/6/2025
ABI0123,AFN,165000,4/6/2025
ABI0123,USD,400,4/6/2025
ABI0125,AFN,2000,4/6/2025
ABI0004,AFN,470500,4/7/2025
ABI0004,USD,0,4/7/2025
ABI0007,AFN,39500,4/7/2025
ABI0010,AFN,167000,4/7/2025
ABI0010,USD,0,4/7/2025
ABI0019,AFN,237000,4/7/2025
ABI0019,USD,0,4/7/2025
ABI0021,AFN,1161000,4/7/2025
ABI0021,USD,0,4/7/2025
ABI0026,AFN,1000,4/7/2025
ABI0030,AFN,42500,4/7/2025
ABI0030,USD,0,4/7/2025
ABI0031,AFN,66000,4/7/2025
ABI0031,USD,0,4/7/2025
ABI0032,AFN,11500,4/7/2025
ABI0034,AFN,21000,4/7/2025
ABI0034,USD,1600,4/7/2025
ABI0040,AFN,88000,4/7/2025
ABI0040,USD,15200,4/7/2025
ABI0041,AFN,87500,4/7/2025
ABI0042,AFN,132500,4/7/2025
ABI0042,USD,0,4/7/2025
ABI0043,AFN,75000,4/7/2025
ABI0043,USD,9950,4/7/2025
ABI0044,AFN,224000,4/7/2025
ABI0045,AFN,24000,4/7/2025
ABI0045,USD,0,4/7/2025
ABI0046,AFN,16500,4/7/2025
ABI0046,USD,0,4/7/2025
ABI0047,AFN,174000,4/7/2025
ABI0047,USD,0,4/7/2025
